path,reason,kind
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_2ea46f8c-83ad-4332-8bfd-bd5edbfc574f","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_60b1ecea-5eae-4c14-9700-035fd318afc6","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_995779d8-ae11-4132-8312-741c770c209b","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_4606bf26-1806-40fa-86c3-7c50432fe345","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_a0291c3a-1ddd-44e3-a5f4-fa7995659029","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_60b1ecea-5eae-4c14-9700-035fd318afc6","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_995779d8-ae11-4132-8312-741c770c209b","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_ace86587-528f-4800-be66-079582de037a","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_e4eb46e2-543f-4fe6-aaa9-a99178394f31","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_a0291c3a-1ddd-44e3-a5f4-fa7995659029","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_e54e49f9-0cda-4919-b609-3a641f35ea7c","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_ace86587-528f-4800-be66-079582de037a","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_e4eb46e2-543f-4fe6-aaa9-a99178394f31","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_MicrosoftEdgeUpd_b14c3ad8345ce91c15fc78b2915ae952944597_00000000_c5b83432-6cc4-474d-8341-f8ed5e99f0ef","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Acquisition;setu_231856d2e175a546df10e6138e8f8d95f06edb_00000000_e54e49f9-0cda-4919-b609-3a641f35ea7c","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_MicrosoftEdgeUpd_b14c3ad8345ce91c15fc78b2915ae952944597_00000000_c5b83432-6cc4-474d-8341-f8ed5e99f0ef","read_dir: 拒绝访问。 (os error 5)",System
